Model Name,ML Task,Is Training,Operation,Input Dims,Input Type
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [768, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 768, 50, 70], [1, 768, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 768], [768, 3072]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 3072], [3072], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 50, 70, 3072], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 3072], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 3072], [3072, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 768], [768], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 768], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[1, 768, 50, 70], [1, 768, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [768, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 768, 50, 70], [1, 768, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 768], [768, 3072]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 3072], [3072], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 50, 70, 3072], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 3072], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 3072], [3072, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 768], [768], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 768], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[1, 768, 50, 70], [1, 768, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [768, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 768, 50, 70], [1, 768, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 768], [768, 3072]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 3072], [3072], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 50, 70, 3072], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 3072], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 3072], [3072, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 768], [768], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 768], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[1, 768, 50, 70], [1, 768, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [768, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 768, 50, 70], [1, 768, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 768], [768, 3072]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 3072], [3072], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 50, 70, 3072], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 3072], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 3072], [3072, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 768], [768], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 768], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[1, 768, 50, 70], [1, 768, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [768, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 768, 50, 70], [1, 768, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 768], [768, 3072]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 3072], [3072], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 50, 70, 3072], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 3072], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 3072], [3072, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 768], [768], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 768], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[1, 768, 50, 70], [1, 768, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [768, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 768, 50, 70], [1, 768, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 768], [768, 3072]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 3072], [3072], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 50, 70, 3072], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 3072], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 3072], [3072, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 768], [768], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 768], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[1, 768, 50, 70], [1, 768, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [768, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 768, 50, 70], [1, 768, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 768], [768, 3072]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 3072], [3072], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 50, 70, 3072], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 3072], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 3072], [3072, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 768], [768], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 768], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[1, 768, 50, 70], [1, 768, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [768, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 768, 50, 70], [1, 768, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 768], [768, 3072]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 3072], [3072], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 50, 70, 3072], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 3072], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 3072], [3072, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 768], [768], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 768], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[1, 768, 50, 70], [1, 768, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [768, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 768, 50, 70], [1, 768, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 768], [768, 3072]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 3072], [3072], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 50, 70, 3072], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 3072], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 3072], [3072, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 768], [768], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 768], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[1, 768, 50, 70], [1, 768, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [768, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 768, 50, 70], [1, 768, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 768], [768, 3072]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 3072], [3072], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 50, 70, 3072], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 3072], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 3072], [3072, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 768], [768], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 768], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[1, 768, 50, 70], [1, 768, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [768, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 768, 50, 70], [1, 768, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 768], [768, 3072]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 3072], [3072], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 50, 70, 3072], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 3072], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 3072], [3072, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 768], [768], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 768], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[1, 768, 50, 70], [1, 768, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [768, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 768, 50, 70], [1, 768, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 768], [768, 3072]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 3072], [3072], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 50, 70, 3072], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 3072], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 3072], [3072, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 768], [768], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 768], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[1, 768, 50, 70], [1, 768, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [768, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 768, 50, 70], [1, 768, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 768], [768, 3072]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 3072], [3072], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 50, 70, 3072], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 3072], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[3500, 3072], [3072, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 50, 70, 768], [768], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 50, 70, 768], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[1, 768, 50, 70], [1, 768, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[1, 768, 50, 70], [1, 768, 50, 70], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 50, 70, 768], [], [768], [768], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 768, 50, 70], [1536, 768, 2, 2], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 1536, 25, 35], [1, 1536, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 1536, 25, 35], [1536, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 1536, 25, 35], [1, 1536, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 25, 35, 1536], [], [1536], [1536], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[875, 1536], [1536, 6144]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 25, 35, 6144], [6144], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::gelu,"[[1, 25, 35, 6144], []]","['float', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::dropout,"[[1, 25, 35, 6144], [], []]","['float', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mm,"[[875, 6144], [6144, 1536]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 25, 35, 1536], [1536], []]","['float', 'float', 'Scalar']"
